Tag version: 1.1.01

368 CHN 0 33667 33603378       5906
369 CHN 0 33769 33705185        104
370 OFL *  1
371 CHN 0 33869 33804996        547
372 CHN 0 33969 33904807        992
373 CHN 0 34069 34004618       1434
374 CHN 0 34169 34104429       1877
375 CHN 0 34269 34204240       2323
376 CHN 0 34369 34304051       2767
377 CHN 0 34470 34404860       3209
378 CHN 0 34570 34504671       3653
379 CHN 0 34670 34604482       4096
380 CHN 0 34770 34704293       4540
381 OFL *  1
382 CHN 0 34870 34804104       4983
383 CHN 0 34970 34903915       5426
384 CHN 0 35071 35004724       5870
385 CHN 0 35172 35105534         68
386 CHN 0 35272 35205345        511
387 CHN 0 35372 35305156        956
388 CHN 0 35472 35404967       1399
389 CHN 0 35572 35504778       1840
390 CHN 0 35672 35604589       2286
391 CHN 0 35772 35704400       2729
392 OFL *  1
393 CHN 0 35872 35804211       3174
394 CHN 0 35972 35904022       3616
395 CHN 0 36072 36003833       4060
396 CHN 0 36172 36103644       4503
397 CHN 0 36273 36204453       4944
398 CHN 0 36373 36304264       5389
399 CHN 0 36473 36404075       5833
400 CHN 0 36574 36504884         30
401 CHN 0 36674 36604695        475
402 CHN 0 36774 36704506        919
403 OFL *  1
404 CHN 0 36875 36805315       1362
405 CHN 0 36975 36905126       1805
406 CHN 0 37075 37004937       2249
407 CHN 0 37175 37104748       2692
408 CHN 0 37275 37204559       3136
409 CHN 0 37376 37305369       3579
410 CHN 0 37476 37405180       4023
411 CHN 0 37576 37504991       4465
412 CHN 0 37676 37604802       4909
413 CHN 0 37776 37704613       5352
414 CHN 0 37876 37804424       5797
415 OFL *  1
416 CHN 0 37976 37904235       6240
417 CHN 0 38077 38005044        439
418 CHN 0 38177 38104855        880
419 CHN 0 38277 38204666       1324
420 CHN 0 38377 38304477       1768
421 CHN 0 38477 38404288       2212
422 CHN 0 38577 38504099       2656
423 CHN 0 38677 38603910       3099
424 CHN 0 38777 38703721       3543
425 CHN 0 38877 38803532       3986
426 OFL *  1
427 CHN 0 38977 38903343       4428
428 CHN 0 39077 39003154       4872
429 CHN 0 39178 39103963       5316
430 CHN 0 39278 39203774       5760
431 CHN 0 39378 39303585       6202
432 CHN 0 39480 39405392        402
433 CHN 0 39580 39505203        845
434 CHN 0 39680 39605015       1288
435 CHN 0 39780 39704826       1731
436 CHN 0 39880 39804637       2176
437 OFL *  1
438 CHN 0 39980 39904448       2619
439 CHN 0 40080 40004259       3062
440 CHN 0 40180 40104070       3506
441 CHN 0 40280 40203881       3949
442 CHN 0 40380 40303692       4393
443 CHN 0 40480 40403503       4836
444 CHN 0 40580 40503314       5280
445 CHN 0 40680 40603125       5724
446 CHN 0 40780 40702936       6166
447 CHN 0 40882 40804743        364
448 OFL *  1
449 CHN 0 40982 40904554        808
450 CHN 0 41082 41004365       1251
451 CHN 0 41182 41104176       1695
452 CHN 0 41282 41203987       2138
453 CHN 0 41382 41303798       2581
454 CHN 0 41483 41404607       3025
455 CHN 0 41583 41504418       3469
456 CHN 0 41683 41604229       3912
457 CHN 0 41783 41704040       4355
458 CHN 0 41883 41803851       4799
459 CHN 0 41983 41903662       5242
460 OFL *  1
461 CHN 0 42083 42003473       5685
462 CHN 0 42183 42103284       6130
463 CHN 0 42284 42204094        327
464 CHN 0 42384 42303905        770
465 CHN 0 42484 42403716       1213
466 CHN 0 42584 42503527       1658
467 CHN 0 42684 42603338       2102
468 CHN 0 42784 42703149       2545
469 CHN 0 42884 42802960       2988
470 CHN 0 42984 42902771       3432
471 OFL *  1
472 CHN 0 43084 43002582       3876
473 CHN 0 43185 43103391       4318
474 CHN 0 43285 43203202       4763
475 CHN 0 43385 43303013       5205
476 CHN 0 43485 43402824       5649
477 CHN 0 43585 43502635       6093
478 CHN 0 43686 43603444        290
479 CHN 0 43786 43703255        734
480 CHN 0 43886 43803066       1177
481 CHN 0 43986 43902877       1621
482 OFL *  1
483 CHN 0 44086 44002688       2065
484 CHN 0 44186 44102499       2508
485 CHN 0 44286 44202310       2952
486 CHN 0 44387 44303119       3396
487 CHN 0 44487 44402930       3838
488 CHN 0 44587 44502741       4283
489 CHN 0 44687 44602553       4726
490 CHN 0 44787 44702364       5169
491 CHN 0 44887 44802175       5612
492 CHN 0 44987 44901986       6056
493 OFL *  1
494 CHN 0 45089 45003793        255
495 CHN 0 45190 45104602        698
496 CHN 0 45290 45204413       1140
497 CHN 0 45390 45304224       1585
498 CHN 0 45490 45404035       2029
499 CHN 0 45590 45503846       2471
500 CHN 0 45690 45603657       2915
501 CHN 0 45790 45703468       3357
502 CHN 0 45890 45803279       3802
503 CHN 0 45990 45903090       4246
504 OFL *  1
505 CHN 0 46091 46003899       4689
506 CHN 0 46191 46103710       5133
507 CHN 0 46291 46203521       5577
508 CHN 0 46393 46305329       6019
509 CHN 0 46494 46406138        217
510 CHN 0 46594 46505949        661
511 CHN 0 46694 46605760       1104
512 CHN 0 46794 46705571       1548
513 CHN 0 46894 46805382       1991
514 CHN 0 46994 46905193       2434
515 CHN 0 47094 47005004       2878
516 OFL *  1
517 CHN 0 47194 47104815       3322
518 CHN 0 47294 47204626       3765
519 CHN 0 47394 47304437       4209
520 CHN 0 47494 47404248       4652
521 CHN 0 47594 47504059       5097
522 CHN 0 47694 47603870       5539
523 CHN 0 47794 47703681       5983
524 CHN 0 47895 47804490        181
525 CHN 0 47995 47904301        625
526 CHN 0 48095 48004112       1067
527 OFL *  1
528 CHN 0 48195 48103923       1511
529 CHN 0 48296 48204732       1955
530 CHN 0 48396 48304543       2398
531 CHN 0 48496 48404354       2842
532 CHN 0 48596 48504165       3284
533 CHN 0 48696 48603976       3728
534 CHN 0 48796 48703787       4172
535 CHN 0 48896 48803599       4615
536 CHN 0 48997 48904408       5058
537 CHN 0 49097 49004219       5503
538 OFL *  1
539 CHN 0 49197 49104030       5946
540 CHN 0 49298 49204839        145
541 CHN 0 49398 49304650        587
542 CHN 0 49498 49404461       1030
543 CHN 0 49598 49504272       1475
544 CHN 0 49698 49604083       1917
545 CHN 0 49798 49703894       2359
546 CHN 0 49898 49803705       2804
547 CHN 0 49998 49903516       3248
548 CHN 0 50099 50004325       3691
549 OFL *  1
550 CHN 0 50199 50104136       4135
551 CHN 0 50299 50203947       4579
552 CHN 0 50399 50303758       5021
553 CHN 0 50499 50403569       5465
554 CHN 0 50599 50503380       5909
555 CHN 0 50700 50604189        107
556 CHN 0 50800 50704000        550
557 CHN 0 50901 50804810        994
558 CHN 0 51001 50904621       1438
559 CHN 0 51102 51005430       1876
560 OFL *  1
561 CHN 0 51202 51105241       2326
562 CHN 0 51302 51205052       2767
